name,resume_text
Rahul,python machine learning data analysis pandas numpy
Priya,data science python statistics deep learning
Amit,java spring boot backend developer mysql api
Neha,web development html css javascript react
Karan,python deep learning tensorflow keras ai
Riya,data analyst excel power bi sql tableau
Arjun,react node js full stack developer mongodb
Sneha,ai machine learning python nlp computer vision
Vikas,android development java kotlin mobile app
Pooja,software testing manual automation selenium
Manish,cloud computing aws devops docker kubernetes
Anjali,data engineer hadoop spark big data python
Rohit,c programming embedded systems microcontroller
Kavita,frontend developer angular typescript html css
Suresh,backend developer django flask python api
Meena,ui ux designer figma adobe xd photoshop
Nikhil,cyber security ethical hacking network security
Divya,database administrator mysql oracle sql server
Harsh,machine learning python scikit learn pandas
Payal,ios development swift mobile app development
Kunal,blockchain developer ethereum solidity web3
Tina,business analyst data visualization excel sql
Raj,software engineer python java problem solving
Komal,artificial intelligence neural networks deep learning
Yash,game development unity c sharp 3d design
Bhavesh,devops engineer jenkins docker aws linux
Heena,digital marketing seo social media analytics
Deepak,network engineer routing switching firewall
Aarti,technical support troubleshooting hardware software
Chirag,data scientist python machine learning ai
Mansi,full stack developer react node express mongodb
Jignesh,php developer laravel backend web development
Krishna,big data engineer spark hadoop scala
Ramesh,system administrator linux windows server
Alka,software tester automation selenium python
Tarun,python developer flask django rest api
Sejal,data analyst python sql tableau visualization
Mohit,cloud engineer aws azure google cloud
Ritu,frontend developer html css javascript bootstrap
Sanjay,ai engineer machine learning deep learning python
Pankaj,backend developer node js express api
Nisha,ui designer figma user experience design
Hardik,data engineer python spark sql
Preeti,business intelligence power bi data analytics
Aakash,software developer java spring microservices
Isha,machine learning engineer python tensorflow
Kishan,cyber security penetration testing ethical hacking
